feedback_id,order_id,customer_id,rating,feedback_text,feedback_category,sentiment,feedback_date,ETL_updated_ts,ETL_DATASOURCE_NAME,feedback_key,order_key,customer_key
2234710,1961864118,30065862,4,It was okay nothing special,DELIVERY,NEUTRAL,2024-07-17,2025-10-06 22:12:55.118006,1,500737564,1471160553,2031696231
5450964,1549769649,9573071,3,The order was incorrect,APP EXPERIENCE,NEGATIVE,2024-05-28,2025-10-06 22:12:55.118006,1,1310955762,1082710678,1753213356
482108,9185164487,45477575,3,It was okay nothing special,APP EXPERIENCE,NEUTRAL,2024-09-23,2025-10-06 22:12:55.118006,1,1757395519,1253483929,777952610
4823104,9644738826,88067569,4,The product met my expectations,APP EXPERIENCE,NEUTRAL,2023-11-24,2025-10-06 22:12:55.118006,1,1514077763,248664083,1428861814
3537464,5427684290,83298567,3,Product was damaged during delivery,DELIVERY,NEGATIVE,2023-11-20,2025-10-06 22:12:55.118006,1,1890473437,354498643,623059558
4089724,3265154092,43367112,2,Product was damaged during delivery,CUSTOMER SERVICE,NEGATIVE,2023-03-18,2025-10-06 22:12:55.118006,1,891480515,1753985288,1289163622
230696,4898355547,13284996,4,Highly recommended,PRODUCT QUALITY,POSITIVE,2023-04-16,2025-10-06 22:12:55.118006,1,604354036,768100104,976217425
2259308,6568151549,88866835,2,I had a bad experience,APP EXPERIENCE,NEGATIVE,2024-03-31,2025-10-06 22:12:55.118006,1,1060025139,1111964656,307037263
7380970,6006693867,24496983,3,Product was damaged during delivery,DELIVERY,NEGATIVE,2023-07-14,2025-10-06 22:12:55.118006,1,22034172,1350587214,713199639
2257242,374186990,52215833,3,The product met my expectations,APP EXPERIENCE,NEUTRAL,2023-08-09,2025-10-06 22:12:55.118006,1,2088031325,309514554,909404463
1837573,4455336265,43431724,2,Taste was not as expected,DELIVERY,NEGATIVE,2023-08-30,2025-10-06 22:12:55.118006,1,1172662662,928527290,1908207207
258023,3539286337,77559557,3,Delivery was fine but the product could be better,DELIVERY,NEUTRAL,2023-04-25,2025-10-06 22:12:55.118006,1,217839351,837440762,1462185484
3081099,9171116867,87107263,4,The product met my expectations,CUSTOMER SERVICE,NEUTRAL,2023-10-22,2025-10-06 22:12:55.118006,1,685684405,776008192,2039583323
3158837,5504941865,76512976,5,Highly recommended,APP EXPERIENCE,POSITIVE,2024-01-28,2025-10-06 22:12:55.118006,1,15840186,403117251,454846148
9465932,5868326481,37556526,4,Nothing to complain about but nothing exceptional,PRODUCT QUALITY,NEUTRAL,2024-03-15,2025-10-06 22:12:55.118006,1,397731709,300037473,1496505337
8111644,2137046916,12059049,4,Overall good experience thank you,CUSTOMER SERVICE,POSITIVE,2024-02-03,2025-10-06 22:12:55.118006,1,1489976127,1857624115,240454675
