campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,ETL_updated_ts,ETL_DATASOURCE_NAME,campaign_key
548299,New User Discount,2024-11-05,PREMIUM,App,3130,163,78,1431.85,4777.75,3.6,2025-10-06 22:10:07.986423,1,562067600
390914,Weekend Special,2024-11-05,INACTIVE,App,3925,494,45,4506.34,6238.11,2.98,2025-10-06 22:10:07.986423,1,517566301
834385,Festival Offer,2024-11-05,INACTIVE,Email,7012,370,78,4524.23,2621.0,2.95,2025-10-06 22:10:07.986423,1,2043127538
241523,Flash Sale,2024-11-05,INACTIVE,SMS,1115,579,86,3622.79,2955.0,2.84,2025-10-06 22:10:07.986423,1,3151185
595111,Membership Drive,2024-11-05,NEW USERS,Email,7172,795,54,2888.99,8951.81,2.22,2025-10-06 22:10:07.986423,1,1731726842
176344,Category Promotion,2024-11-05,INACTIVE,App,4333,421,40,2714.78,6697.88,3.89,2025-10-06 22:10:07.986423,1,912242933
875646,App Push Notification,2024-11-05,PREMIUM,Email,4752,937,21,3584.76,9152.99,2.14,2025-10-06 22:10:07.986423,1,2070255286
5516,Email Campaign,2024-11-05,PREMIUM,Social Media,1559,418,68,1457.88,2156.09,3.92,2025-10-06 22:10:07.986423,1,2068207107
989534,Referral Program,2024-11-05,NEW USERS,SMS,3838,911,45,4808.64,8074.17,1.7,2025-10-06 22:10:07.986423,1,173327583
243346,New User Discount,2024-11-04,INACTIVE,SMS,6289,834,14,3746.35,4474.02,2.56,2025-10-06 22:10:07.986423,1,1121711086
775791,Weekend Special,2024-11-04,INACTIVE,App,1068,496,87,1043.7,9535.85,3.15,2025-10-06 22:10:07.986423,1,2044657734
178345,Festival Offer,2024-11-04,INACTIVE,Social Media,4229,914,84,1370.63,3521.16,1.65,2025-10-06 22:10:07.986423,1,1392534856
60966,Flash Sale,2024-11-04,INACTIVE,App,2712,161,89,4870.23,2626.78,2.03,2025-10-06 22:10:07.986423,1,1188253675
209071,Membership Drive,2024-11-04,NEW USERS,Social Media,9365,753,53,3817.01,7072.56,1.55,2025-10-06 22:10:07.986423,1,79819610
712164,Category Promotion,2024-11-04,ALL,App,4813,321,88,2512.51,6494.09,2.55,2025-10-06 22:10:07.986423,1,900379264
301304,App Push Notification,2024-11-04,INACTIVE,Social Media,8840,466,24,1776.92,5356.59,3.17,2025-10-06 22:10:07.986423,1,1560759425
755362,Email Campaign,2024-11-04,INACTIVE,App,7409,949,99,1599.21,7907.75,1.93,2025-10-06 22:10:07.986423,1,1932740064
362255,Referral Program,2024-11-04,PREMIUM,SMS,1997,599,92,3328.47,2278.39,3.09,2025-10-06 22:10:07.986423,1,846687119
538453,New User Discount,2024-11-03,NEW USERS,Social Media,9594,692,58,3712.46,2591.79,3.01,2025-10-06 22:10:07.986423,1,2141338370
146888,Weekend Special,2024-11-03,NEW USERS,Email,8974,799,64,4907.38,9623.97,2.36,2025-10-06 22:10:07.986423,1,1460035571
36202,Festival Offer,2024-11-03,NEW USERS,Email,7102,858,53,1454.23,8523.27,2.87,2025-10-06 22:10:07.986423,1,1438107636
232494,Flash Sale,2024-11-03,ALL,Social Media,9487,109,54,1364.19,5855.87,1.61,2025-10-06 22:10:07.986423,1,2123845709
757108,Membership Drive,2024-11-03,INACTIVE,Email,5922,258,41,1815.23,9798.33,2.73,2025-10-06 22:10:07.986423,1,196009404
294530,Category Promotion,2024-11-03,ALL,App,4630,860,76,4337.91,3326.76,1.86,2025-10-06 22:10:07.986423,1,444504257
627085,App Push Notification,2024-11-03,ALL,Email,6291,130,66,4644.01,2649.48,3.23,2025-10-06 22:10:07.986423,1,1121308456
954798,Email Campaign,2024-11-03,ALL,Email,6347,737,100,2352.91,5816.29,3.0,2025-10-06 22:10:07.986423,1,2042378036
675313,Referral Program,2024-11-03,NEW USERS,Email,2465,560,60,4857.36,2528.08,1.62,2025-10-06 22:10:07.986423,1,648912156
588949,New User Discount,2024-11-02,PREMIUM,App,7171,211,22,3120.88,8989.36,3.51,2025-10-06 22:10:07.986423,1,1679148123
137874,Weekend Special,2024-11-02,ALL,App,6082,497,59,1897.04,3654.1,1.95,2025-10-06 22:10:07.986423,1,1413368314
674904,Festival Offer,2024-11-02,NEW USERS,Social Media,3297,613,19,3819.45,2007.51,3.75,2025-10-06 22:10:07.986423,1,1460808206
783220,Flash Sale,2024-11-02,INACTIVE,App,5550,633,12,1947.14,3460.9,2.75,2025-10-06 22:10:07.986423,1,1465233416
877083,Membership Drive,2024-11-02,PREMIUM,SMS,3446,155,51,3415.84,8018.45,3.18,2025-10-06 22:10:07.986423,1,440584410
228966,Category Promotion,2024-11-02,PREMIUM,SMS,8998,632,55,4905.7,8801.61,3.79,2025-10-06 22:10:07.986423,1,319001449
531307,App Push Notification,2024-11-02,ALL,App,7562,975,73,2298.76,7097.94,1.8,2025-10-06 22:10:07.986423,1,1037883239
51098,Email Campaign,2024-11-02,NEW USERS,SMS,1423,802,40,1818.73,4672.26,3.83,2025-10-06 22:10:07.986423,1,345462702
501568,Referral Program,2024-11-02,PREMIUM,Email,7215,508,25,2202.62,3845.1,1.84,2025-10-06 22:10:07.986423,1,1130427413
703072,New User Discount,2024-11-01,ALL,App,4360,724,38,1905.02,4231.84,3.01,2025-10-06 22:10:07.986423,1,428651265
978279,Weekend Special,2024-11-01,ALL,Email,9713,686,94,2062.29,9160.3,3.06,2025-10-06 22:10:07.986423,1,845400180
350042,Festival Offer,2024-11-01,ALL,Email,5538,362,51,2486.88,9687.96,2.2,2025-10-06 22:10:07.986423,1,2057156491
675128,Flash Sale,2024-11-01,NEW USERS,App,8141,828,37,4123.86,3539.73,2.47,2025-10-06 22:10:07.986423,1,92695222
